Date,Price,Open,High,Low,Vol.,Change %
2020-12-31,89.94,89.61,89.98,89.52,-,0.29%
2020-12-30,89.68,89.98,89.98,89.56,-,-0.35%
2020-12-29,89.99,90.21,90.23,89.85,-,-0.38%
2020-12-28,90.34,90.22,90.38,89.98,-,0.02%
2020-12-25,90.32,90.33,90.42,90.21,-,0.00%
2020-12-24,90.32,90.28,90.38,90.15,-,-0.10%
2020-12-23,90.41,90.52,90.67,90.16,-,-0.27%
2020-12-22,90.65,90.09,90.72,90.06,-,0.68%
2020-12-21,90.04,89.92,91.02,89.92,-,0.03%
2020-12-18,90.02,89.83,90.13,89.83,-,0.22%
2020-12-17,89.82,90.27,90.27,89.73,-,-0.69%
2020-12-16,90.45,90.49,90.7,90.13,-,-0.03%
2020-12-15,90.47,90.69,90.82,90.42,-,-0.26%
2020-12-14,90.71,90.98,90.98,90.42,-,-0.29%
2020-12-11,90.98,90.74,91.04,90.62,-,0.17%
2020-12-10,90.82,91.06,91.15,90.67,-,-0.29%
2020-12-09,91.09,90.92,91.2,90.69,-,0.13%
2020-12-08,90.96,90.9,91.02,90.75,-,0.19%
2020-12-07,90.79,90.81,91.24,90.62,-,0.10%
2020-12-04,90.7,90.71,90.87,90.48,-,-0.01%
2020-12-03,90.71,91.06,91.09,90.51,-,-0.44%
2020-12-02,91.12,91.19,91.5,90.99,-,-0.21%
2020-12-01,91.31,91.94,91.94,91.16,-,-0.61%
2020-11-30,91.87,91.78,92.05,91.51,-,0.09%
2020-11-27,91.79,92.02,92.05,91.76,-,-0.22%
2020-11-26,91.99,91.95,92.17,91.85,-,0.00%
2020-11-25,91.99,92.11,92.26,91.93,-,-0.25%
2020-11-24,92.23,92.53,92.56,92.13,-,-0.30%
2020-11-23,92.5,92.4,92.8,92.02,-,0.12%
2020-11-20,92.39,92.34,92.43,92.21,-,0.11%
2020-11-19,92.29,92.56,92.72,92.24,-,-0.02%
2020-11-18,92.32,92.44,92.51,92.21,-,-0.11%
2020-11-17,92.42,92.49,92.61,92.27,-,-0.24%
2020-11-16,92.64,92.72,92.84,92.46,-,-0.12%
2020-11-13,92.75,92.95,93,92.71,-,-0.22%
2020-11-12,92.96,93.01,93.14,92.78,-,-0.09%
2020-11-11,93.04,92.7,93.21,92.61,-,0.32%
2020-11-10,92.75,92.76,92.97,92.6,-,0.03%
2020-11-09,92.72,92.24,92.96,92.13,-,0.54%
2020-11-06,92.23,92.57,92.82,92.18,-,-0.32%
2020-11-05,92.53,93.34,93.54,92.49,-,-0.94%
